Name, Start Date , End Date
AHDC - Clubmoor course,01/03/2010,26/04/2010
AHDC - John Archer Hall,02/05/2010,27/06/2010
AHDC - Merseyside School for Deaf People,07/06/2010,12/07/2010
Employable Communities Volunteering,01/02/2010,29/03/2010
Extended Schools - Hope Valley School,10/02/2010,31/03/2010
Extended Schools - St Malachy's,14/10/2009,09/12/2009
V-Programme - Central Youth Club,20/02/2010,17/04/2010
V-Programme - Rotunda Community College,21/01/2010,18/03/2010
V-Programme - Volunteering,13/03/2010,08/05/2010
Wavertree,22/04/2010,27/05/2010
Trinity School (Extended Schools C&N),22/04/2010,06/09/2010
